api	crate	path_line	snippet
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3605	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3606	_ => candle_core::bail!("causal_depthwise_conv1d_f32_bwd_input: output must be CUDA"),
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3635	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3651	candle_core::bail!(
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3658	candle_core::Error::Msg("causal_depthwise_conv1d_f32_bwd_weight: empty weight".into())
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3661	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3672	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3682	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3689	rank => candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3698	candle_core::bail!("causal_depthwise_conv1d_f32_bwd_weight: expected F32 tensors");
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3711	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3712	_ => candle_core::bail!("causal_depthwise_conv1d_f32_bwd_weight: grad must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3715	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3716	_ => candle_core::bail!("causal_depthwise_conv1d_f32_bwd_weight: input must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3719	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3720	_ => candle_core::bail!("causal_depthwise_conv1d_f32_bwd_weight: state must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3723	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3724	_ => candle_core::bail!("causal_depthwise_conv1d_f32_bwd_weight: output must be CUDA"),
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3757	candle_core::bail!(
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3772	candle_core::Error::Msg("causal_depthwise_conv1d_f32_bwd_state: empty weight".into())
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3778	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3788	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3795	rank => candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3800	candle_core::bail!(
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3815	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3816	_ => candle_core::bail!("causal_depthwise_conv1d_f32_bwd_state: grad must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3819	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3820	_ => candle_core::bail!("causal_depthwise_conv1d_f32_bwd_state: weight must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3823	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3824	_ => candle_core::bail!("causal_depthwise_conv1d_f32_bwd_state: output must be CUDA"),
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3852	candle_core::bail!(
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3870	let variance = x_f32.sqr()?.mean_keepdim(candle_core::D::Minus1)?;
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3893	let x_rot = x.narrow(candle_core::D::Minus1, 0, rotary_dim)?;
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3895	Some(x.narrow(candle_core::D::Minus1, rotary_dim, head_dim - rotary_dim)?)
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3899	let x1 = x_rot.narrow(candle_core::D::Minus1, 0, half)?;
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3900	let x2 = x_rot.narrow(candle_core::D::Minus1, half, half)?;
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3906	Some(pass) => Tensor::cat(&[&r1, &r2, &pass], candle_core::D::Minus1)?,
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:3907	None => Tensor::cat(&[&r1, &r2], candle_core::D::Minus1)?,
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:4355	let q_sq = q_f32.sqr()?.sum_keepdim(candle_core::D::Minus1)?;
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:4361	let k_sq = k_f32.sqr()?.sum_keepdim(candle_core::D::Minus1)?;
candle_core::Var	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:4687	use candle_core::Var;
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:4697	let variance = x_f32.sqr()?.mean_keepdim(candle_core::D::Minus1)?;
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:4711	.ok_or_else(|| candle_core::Error::Msg("missing x grad".to_string()))?;
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:4715	.ok_or_else(|| candle_core::Error::Msg("missing w grad".to_string()))?;
candle_core::Var	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:4806	use candle_core::Var;
candle_nn::ops::sigmoid	kiln-gdn-kernel	crates/kiln-gdn-kernel/examples/gates_bench.rs:60	// beta = sigmoid(b) — stays in bf16. candle_nn::ops::sigmoid has no
candle_core::Result	kiln-gdn-kernel	crates/kiln-gdn-kernel/tests/gated_rms_norm_parity.rs:23	fn sigmoid(x: &Tensor) -> candle_core::Result<Tensor> {
candle_core::Result	kiln-gdn-kernel	crates/kiln-gdn-kernel/tests/gated_rms_norm_parity.rs:30	fn silu(x: &Tensor) -> candle_core::Result<Tensor> {
candle_core::Result	kiln-gdn-kernel	crates/kiln-gdn-kernel/tests/gated_rms_norm_parity.rs:34	fn reference(x: &Tensor, z: &Tensor, weight: &Tensor, eps: f64) -> candle_core::Result<Tensor> {
candle_core::D::Minus1	kiln-gdn-kernel	crates/kiln-gdn-kernel/tests/gated_rms_norm_parity.rs:38	let variance = x_f32.sqr()?.mean_keepdim(candle_core::D::Minus1)?;
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:398	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:405	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:412	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:421	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:430	candle_core::bail!("kiln-gdn-kernel: chunk_size must be <= 128 (got {c})");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:433	candle_core::bail!("kiln-gdn-kernel: dv must be <= 1024 (got {dv})");
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:449	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:450	_ => candle_core::bail!("kiln-gdn-kernel: a_strict must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:453	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:454	_ => candle_core::bail!("kiln-gdn-kernel: v_prime must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:457	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:458	_ => candle_core::bail!("kiln-gdn-kernel: beta must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:461	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:462	_ => candle_core::bail!("kiln-gdn-kernel: w_out must be on CUDA"),
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:496	candle_core::bail!("kiln_gdn_forward_substitution failed with status {status}");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:533	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:540	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:547	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:554	candle_core::bail!("kiln-gdn-kernel: g shape [{b_g}, {h_g}] mismatch with q [{b}, {h}, *]");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:559	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:571	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:583	candle_core::bail!("kiln-gdn-kernel: dk must be <= 256 (got {dk})");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:586	candle_core::bail!("kiln-gdn-kernel: dv must be <= 1024 (got {dv})");
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:613	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:614	_ => candle_core::bail!("kiln-gdn-kernel: q must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:617	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:618	_ => candle_core::bail!("kiln-gdn-kernel: k must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:621	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:622	_ => candle_core::bail!("kiln-gdn-kernel: v must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:625	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:626	_ => candle_core::bail!("kiln-gdn-kernel: beta must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:629	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:630	_ => candle_core::bail!("kiln-gdn-kernel: g must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:633	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:634	_ => candle_core::bail!("kiln-gdn-kernel: state must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:637	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:638	_ => candle_core::bail!("kiln-gdn-kernel: out must be on CUDA"),
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:690	candle_core::bail!("kiln_gdn_recurrent_forward failed with status {status}");
candle_core::Device::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:710	if !matches!(q.device(), candle_core::Device::Cuda(_)) {
candle_core::Device	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:782	device: &candle_core::Device,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:790	candle_core::bail!(
candle_core::Device::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:796	if !matches!(out.device(), candle_core::Device::Cuda(_))
candle_core::Device::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:797	|| !matches!(device, candle_core::Device::Cuda(_))
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:799	candle_core::bail!("kiln-gdn-kernel: graph GDN decode output device mismatch");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:802	candle_core::bail!("kiln-gdn-kernel: graph GDN decode output must be BF16");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:805	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:830	candle_core::bail!("kiln-gdn-kernel: gdn_decode_gates_recurrent envelope violation");
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:870	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:871	_ => candle_core::bail!("kiln-gdn-kernel: q must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:874	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:875	_ => candle_core::bail!("kiln-gdn-kernel: k must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:878	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:879	_ => candle_core::bail!("kiln-gdn-kernel: v must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:882	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:883	_ => candle_core::bail!("kiln-gdn-kernel: a must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:886	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:887	_ => candle_core::bail!("kiln-gdn-kernel: b must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:890	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:891	_ => candle_core::bail!("kiln-gdn-kernel: a_log must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:894	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:895	_ => candle_core::bail!("kiln-gdn-kernel: dt_bias must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:898	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:899	_ => candle_core::bail!("kiln-gdn-kernel: state must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:902	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:903	_ => candle_core::bail!("kiln-gdn-kernel: out must be on CUDA"),
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:997	other => candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1002	candle_core::bail!(
candle_core::Device::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1022	if !matches!(q.device(), candle_core::Device::Cuda(_)) {
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1087	candle_core::bail!(
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1144	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1145	_ => candle_core::bail!("kiln-gdn-kernel: q must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1148	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1149	_ => candle_core::bail!("kiln-gdn-kernel: k must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1152	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1153	_ => candle_core::bail!("kiln-gdn-kernel: v must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1156	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1157	_ => candle_core::bail!("kiln-gdn-kernel: a must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1160	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1161	_ => candle_core::bail!("kiln-gdn-kernel: b must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1164	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1165	_ => candle_core::bail!("kiln-gdn-kernel: a_log must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1168	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1169	_ => candle_core::bail!("kiln-gdn-kernel: dt_bias must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1172	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1173	_ => candle_core::bail!("kiln-gdn-kernel: state must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1176	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1177	_ => candle_core::bail!("kiln-gdn-kernel: out must be on CUDA"),
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1343	(q_dtype, v_dtype) => candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1348	candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1404	candle_core::bail!(
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1471	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1472	_ => candle_core::bail!("kiln-gdn-kernel: q must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1475	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1476	_ => candle_core::bail!("kiln-gdn-kernel: k must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1479	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1480	_ => candle_core::bail!("kiln-gdn-kernel: v must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1483	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1484	_ => candle_core::bail!("kiln-gdn-kernel: a must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1487	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1488	_ => candle_core::bail!("kiln-gdn-kernel: b must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1491	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1492	_ => candle_core::bail!("kiln-gdn-kernel: a_log must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1495	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1496	_ => candle_core::bail!("kiln-gdn-kernel: dt_bias must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1499	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1500	_ => candle_core::bail!("kiln-gdn-kernel: state must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1503	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1504	_ => candle_core::bail!("kiln-gdn-kernel: z must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1507	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1508	_ => candle_core::bail!("kiln-gdn-kernel: weight must be on CUDA"),
candle_core::Storage::Cuda	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1511	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1512	_ => candle_core::bail!("kiln-gdn-kernel: out must be on CUDA"),
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1698	(q_dtype, v_dtype) => candle_core::bail!(
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1703	candle_core::bail!(
candle_core::CpuStorage	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1828	_s: &candle_core::CpuStorage,
candle_core::CpuStorage	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1830	) -> Result<(candle_core::CpuStorage, Shape)> {
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1831	candle_core::bail!("GdnGateBetaOp CPU fallback is not implemented")
candle_core::Error::Msg	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1837	candle_core::Error::Msg("GdnGateBetaOp: b must have rank >= 1".to_string())
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1840	candle_core::bail!("GdnGateBetaOp: nv {nv} outside 1..=256");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1843	candle_core::bail!("GdnGateBetaOp requires contiguous b");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1863	candle_core::bail!("GdnGateBetaOp: kernel failed with status {status}");
candle_core::CpuStorage	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1883	_s1: &candle_core::CpuStorage,
candle_core::CpuStorage	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1885	_s2: &candle_core::CpuStorage,
candle_core::CpuStorage	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1887	_s3: &candle_core::CpuStorage,
candle_core::CpuStorage	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1889	) -> Result<(candle_core::CpuStorage, Shape)> {
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1890	candle_core::bail!("GdnGateGOp CPU fallback is not implemented")
candle_core::Error::Msg	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1904	candle_core::Error::Msg("GdnGateGOp: a must have rank >= 1".to_string())
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1907	candle_core::bail!("GdnGateGOp: nv {nv} outside 1..=256");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1910	candle_core::bail!("GdnGateGOp: params must have shape [nv]");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1913	candle_core::bail!("GdnGateGOp requires contiguous inputs");
candle_core::bail	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1939	candle_core::bail!("GdnGateGOp: kernel failed with status {status}");
candle_core::Error::Msg	kiln-gdn-kernel	crates/kiln-gdn-kernel/src/lib.rs:1950	res.map_err(|err| candle_core::Error::Msg(format!("{label}: {err}")))
